kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
7778621,K04725.01,Kepler-1967 b,CONFIRMED,CANDIDATE,1.0,7.28171395,111.6,1.723,2.59,0.0735,1086.0,14.4
9100953,K04500.02,Kepler-1610 c,CONFIRMED,CANDIDATE,1.0,44.9851885,617.8,4.164,2.09,0.2323,433.0,12.7
6278762,K03158.04,Kepler-444 e,CONFIRMED,CANDIDATE,1.0,7.74347801,77.8,2.7878,0.62,0.0678,727.0,24.4
4545570,K04506.01,Kepler-1961 b,CONFIRMED,CANDIDATE,0.997,5.60473115,210.0,2.885,1.11,0.0588,866.0,11.9
11671579,K04510.01,Kepler-1611 b,CONFIRMED,CANDIDATE,1.0,5.17624997,78.7,5.261,1.31,0.0586,1243.0,13.4
9216775,K04513.01,Kepler-1612 b,CONFIRMED,CANDIDATE,0.872,3.91794676,116.5,2.549,0.94,0.0482,1030.0,13.5
6278762,K03158.05,Kepler-444 f,CONFIRMED,CANDIDATE,1.0,9.74048508,121.4,1.6993,0.95,0.079,673.0,25.8
9009036,K04585.01,Kepler-1616 b,CONFIRMED,CANDIDATE,0.552,6.76289308,50.9,6.204,1.21,0.0761,1337.0,14.6
2857607,K04659.01,Kepler-1965 b,CONFIRMED,CANDIDATE,0.999,41.8681996,150.7,5.783,1.25,0.2301,492.0,12.5
5962262,K04661.01,Kepler-1966 b,CONFIRMED,CANDIDATE,0.992,8.61742738,154.9,2.713,1.01,0.0763,733.0,11.3
7429240,K04450.01,Kepler-1606 b,CONFIRMED,CANDIDATE,1.0,196.436796,631.9,8.556,2.33,0.6446,292.0,14.4
5003670,K04524.01,Kepler-1962 b,CONFIRMED,CANDIDATE,1.0,7.99144696,145.0,3.639,1.53,0.0783,901.0,12.8
7133294,K04473.01,Kepler-1607 b,CONFIRMED,CANDIDATE,0.334,13.6471211,75.0,8.331,1.25,0.1075,913.0,14.7
4381429,K04474.01,Kepler-1608 b,CONFIRMED,CANDIDATE,0.972,16.473474,470.5,4.201,1.63,0.1126,612.0,13.0
10220837,K04613.01,Kepler-1963 b,CONFIRMED,CANDIDATE,0.934,1.962282625,68.3,1.45,0.81,0.0298,1448.0,12.9
6278762,K03158.01,Kepler-444 b,CONFIRMED,CANDIDATE,1.0,3.60011712,50.2,2.396,0.5,0.0407,938.0,21.6
6276791,K04477.02,Kepler-1958 b,CONFIRMED,CANDIDATE,0.973,9.32867952,354.4,1.572,1.62,0.0856,806.0,12.7
8636600,K04478.01,Kepler-1959 b,CONFIRMED,CANDIDATE,1.0,6.38671206,223.7,1.201,1.19,0.0617,811.0,11.6
9447166,K03296.01,Kepler-1459 b,CONFIRMED,CANDIDATE,0.956,62.869463,341.7,6.842,1.96,0.2829,349.0,16.2
8151055,K03298.01,Kepler-1460 b,CONFIRMED,CANDIDATE,0.99,29.9632816,893.2,2.6,2.24,0.1614,391.0,17.7
3348082,K01196.02,Kepler-274 b,CONFIRMED,CANDIDATE,0.971,11.63486009,292.3,5.466,2.61,0.1011,961.0,18.4
10615440,K04765.01,Kepler-1622 b,CONFIRMED,CANDIDATE,0.919,10.8118317,76.8,2.627,1.24,0.0994,922.0,9.5
7510820,K03303.01,Kepler-1461 b,CONFIRMED,CANDIDATE,0.979,29.3493852,659.2,4.313,2.02,0.1715,451.0,20.3
7983117,K03214.01,Kepler-1988 b,CONFIRMED,CANDIDATE,1.0,11.49500229,51.4,7.602,1.53,0.1038,1105.0,22.9
6880517,K03305.01,Kepler-1462 b,CONFIRMED,CANDIDATE,0.97,65.6491001,983.9,7.298,2.52,0.3094,390.0,20.5
6615511,K03306.01,Kepler-1463 b,CONFIRMED,CANDIDATE,1.0,25.1593389,358.1,5.198,1.76,0.1694,619.0,13.1
3632089,K03308.01,Kepler-1464 b,CONFIRMED,CANDIDATE,1.0,31.7787564,262.0,8.093,1.5,0.1803,564.0,25.9
8397947,K04772.02,Kepler-1705 b,CONFIRMED,CANDIDATE,,9.0194714,191.6,5.92,1.07,0.08,789.0,7.2
9569711,K03232.01,Kepler-1912 b,CONFIRMED,CANDIDATE,0.996,6.05919881,154.2,1.365,1.21,0.0646,976.0,11.7
12314973,K00279.03,Kepler-450 d,CONFIRMED,CANDIDATE,0.984,7.5143967,36.3,4.865,0.96,0.082,1199.0,9.8
